sick,age,children,avgtemp_winter
1.81,65.00,3.31,60.61
1.63,49.24,2.96,44.60
0.63,29.84,0.87,36.13
0.91,24.98,1.55,28.22
0.66,38.33,1.08,52.10
0.53,30.11,0.80,43.49
0.96,44.88,1.55,48.97
2.11,52.10,3.74,31.65
0.07,17.91,0.00,40.87
0.59,42.38,0.86,55.21
1.15,28.25,2.06,29.69
0.11,31.12,0.00,54.08
1.06,49.13,1.67,49.78
1.72,37.03,3.16,27.20
0.26,30.93,0.38,54.28
0.93,31.40,1.47,31.67
1.61,46.23,2.80,36.56
1.48,40.97,2.51,30.73
0.65,34.33,0.97,43.53
1.58,40.98,2.85,34.25
1.16,30.61,1.96,26.99
0.14,22.64,0.00,40.89
0.96,33.03,1.56,34.69
0.65,44.19,0.89,53.61
0.12,12.99,0.00,30.31
0.12,20.63,0.00,40.07
0.86,32.11,1.35,34.46
0.08,25.34,0.00,50.36
1.92,48.41,3.44,34.17
1.56,48.20,2.76,42.40
1.49,47.22,2.70,45.89
1.32,34.10,2.25,27.03
0.13,37.08,0.07,62.61
1.34,49.81,2.32,48.21
0.61,22.93,0.85,27.97
0.97,42.89,1.53,45.35
0.65,35.11,0.85,39.80
0.49,34.87,0.89,56.91
1.18,39.30,2.03,39.60
0.88,42.18,1.45,50.04
0.46,36.59,0.58,50.23
1.42,54.23,2.63,58.52
0.56,50.34,0.76,65.15
0.95,45.18,1.62,53.73
1.52,39.60,2.58,28.05
1.20,46.24,2.10,48.50
1.16,48.44,1.88,46.72
1.30,44.90,2.23,42.22
1.22,48.62,2.11,50.54
0.54,36.38,0.67,44.99
1.47,45.98,2.45,36.24
1.97,56.46,3.36,35.87
0.51,38.98,0.70,53.05
0.05,19.89,0.00,45.81
1.12,53.95,1.84,56.79
0.99,35.00,1.56,34.20
0.91,46.26,1.70,61.90
0.87,39.96,1.33,43.21
0.70,41.59,1.09,52.18
2.12,65.85,3.89,54.20
0.50,26.61,0.71,38.64
0.65,50.15,1.04,66.68
0.80,24.59,1.15,22.49
0.04,33.14,0.00,64.03
2.11,55.72,3.76,36.81
0.78,27.86,1.16,29.65
0.23,21.47,0.00,30.09
0.40,37.80,0.69,61.82
1.19,58.02,2.11,65.82
1.09,33.96,1.80,31.85
2.22,60.78,3.95,39.69
0.79,27.37,1.24,31.41
1.66,52.97,2.90,43.69
1.28,40.63,2.33,43.36
1.90,54.26,3.39,41.10
1.61,60.56,2.88,57.96
0.93,41.13,1.39,41.00
1.11,46.49,1.89,50.24
0.74,41.05,1.10,48.63
1.68,55.41,2.94,46.81
1.72,66.74,2.94,57.31
0.27,12.81,0.04,16.50
0.20,13.23,0.00,21.82
0.57,38.79,0.79,50.22
1.54,41.54,2.73,34.00
0.32,35.08,0.34,52.26
0.79,29.46,1.19,32.02
0.85,38.82,1.37,44.92
0.79,36.19,1.31,45.03
1.32,47.26,2.21,43.17
1.34,59.76,2.37,63.27
1.33,45.16,2.48,50.14
0.91,38.19,1.44,41.68
0.60,37.30,0.85,48.05
1.14,37.87,2.03,41.22
1.15,49.30,1.86,48.58
0.73,41.26,1.15,51.49
0.93,38.37,1.54,43.24
0.88,26.04,1.40,27.01
1.13,32.31,1.85,28.29
0.69,34.83,1.01,41.72
1.23,39.52,2.14,39.48
0.38,44.98,0.41,61.62
1.23,42.15,2.09,39.77
1.03,50.62,1.86,61.72
1.76,45.58,3.14,33.47
0.90,40.81,1.30,40.43
0.32,20.79,0.40,36.06
0.63,28.55,1.09,42.90
1.56,31.54,2.75,19.77
1.06,47.60,1.78,52.17
1.16,40.44,1.83,34.96
0.34,40.94,0.46,62.25
0.33,43.23,0.35,62.18
1.98,61.08,3.64,52.23
0.61,46.62,0.89,59.88
1.00,53.63,1.70,62.96
0.53,30.56,0.74,41.76
0.86,33.97,1.40,39.10
1.39,44.00,2.45,40.95
0.72,22.30,1.03,23.14
1.29,39.83,2.35,42.11
